TLIST(Q1),Quarter,Type of Offence,VALUE
20033,2003Q3,Dangerous/careless driving and motorway offences (0414),1143
20033,2003Q3,Speeding (0415),1014
20033,2003Q3,Endangerment with potential for serious harm/death (0421),12
20033,2003Q3,"Abandoning a child, child neglect and cruelty (0422)",48
20033,2003Q3,Unseaworthy/dangerous use of boat or ship (0423),0
20033,2003Q3,False alarm/interference with aircraft or air transport facilities (0424),3
20033,2003Q3,Endangering traffic offences (0425),39
20033,2003Q3,Kidnapping and related offences (05),25
20033,2003Q3,False imprisonment (0511),17
20033,2003Q3,Abduction of person under 16 years of age (0512),8
20033,2003Q3,Human trafficking offences (0513),0
20033,2003Q3,"Robbery, extortion and hijacking offences (06)",698
20033,2003Q3,Robbery of an establishment or institution (0611),241
20033,2003Q3,Robbery of cash or goods in transit (0612),9
20033,2003Q3,Robbery from the person (0613),418
20033,2003Q3,Blackmail or extortion (0621),10
20033,2003Q3,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",20
20033,2003Q3,Burglary and related offences (07),6297
20033,2003Q3,Aggravated burglary (0711),83
20033,2003Q3,Burglary (not aggravated) (0712),6159
20033,2003Q3,"Possession of an article (with intent to burgle, steal, demand) (0713)",55
20033,2003Q3,Theft and related offences (08),19222
20033,2003Q3,Theft/taking of vehicle and related offences (081),3328
20033,2003Q3,Theft from person (0821),1730
20033,2003Q3,Theft from shop (0822),3928
20033,2003Q3,"Other thefts, handling stolen property (084)",10236
20033,2003Q3,"Fraud, deception and related offences (09)",948
20033,2003Q3,Controlled drug offences (10),2613
20033,2003Q3,Importation of drugs (1011),6
20033,2003Q3,Cultivation or manufacture of drugs (1012),33
20033,2003Q3,Possession of drugs for sale or supply (1021),559
20033,2003Q3,Possession of drugs for personal use (1022),1910
20033,2003Q3,Other drug offences (103),105
20033,2003Q3,Weapons and explosives offences (11),479
20033,2003Q3,"Explosives, chemical weapons offences (111)",7
20033,2003Q3,Discharging a firearm (1121),56
20033,2003Q3,Possession of a firearm (1122),76
20033,2003Q3,Offensive weapons offences (n.e.c.) (113),340
20033,2003Q3,Fireworks offences (114),0
20033,2003Q3,Damage to property and to the environment  offences (12),8089
20033,2003Q3,Arson (1211),350
20033,2003Q3,Criminal damage (not arson) (1212),7718
