TLIST(Q1),Quarter,Type of Offence,VALUE
20121,2012Q1,"Offences against government, justice procedures and organisation of crime (15)",2688
20121,2012Q1,Offences against government and its agents (151),74
20121,2012Q1,Organisation of crime and conspiracy to commit crime (152),0
20121,2012Q1,Perverting the course of justice (153),36
20121,2012Q1,"Offences while in custody, breach of court orders (157)",2578
20121,2012Q1,Offences not elsewhere classified (16),917
20122,2012Q2,Homicide & related offences (01),25
20122,2012Q2,Murder (0111),10
20122,2012Q2,Manslaughter (0112),1
20122,2012Q2,Infanticide (0113),0
20122,2012Q2,Dangerous driving leading to death (012),14
20122,2012Q2,Sexual offences (02),498
20122,2012Q2,Rape of a male or female (0211),116
20122,2012Q2,Defilement of a boy or girl less than 17 years old (0212),26
20122,2012Q2,Sexual offence involving mentally impaired person (0213),10
20122,2012Q2,Aggravated sexual assault (0214),3
20122,2012Q2,Sexual assault (not aggravated) (0215),308
20122,2012Q2,Other sexual offences (022),35
20122,2012Q2,"Attempts/threats to murder, assaults, harassments and related offences (03)",3902
20122,2012Q2,Murder-attempt (0311),1
20122,2012Q2,Threat to kill or cause serious harm  (0313 ),51
20122,2012Q2,Harassment and related offences (033),521
20122,2012Q2,"Assault causing harm, poisoning (034)",778
20122,2012Q2,Other assault (035),2551
20122,2012Q2,Dangerous or negligent acts (04),12759
20122,2012Q2,Dangerous driving causing serious bodily harm (0411),2
20122,2012Q2,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412, 0413)",2155
20122,2012Q2,Driving/in charge of a vehicle while over legal alcohol limit (0412),2078
20122,2012Q2,Driving/in charge of a vehicle under the influence of drugs (0413),77
20122,2012Q2,Dangerous/careless driving and motorway offences (0414),1212
20122,2012Q2,Speeding (0415),9264
20122,2012Q2,Endangerment with potential for serious harm/death (0421),18
20122,2012Q2,"Abandoning a child, child neglect and cruelty (0422)",53
20122,2012Q2,Unseaworthy/dangerous use of boat or ship (0423),1
20122,2012Q2,False alarm/interference with aircraft or air transport facilities (0424),3
20122,2012Q2,Endangering traffic offences (0425),51
20122,2012Q2,Kidnapping and related offences (05),29
20122,2012Q2,False imprisonment (0511),19
20122,2012Q2,Abduction of person under 16 years of age (0512),5
20122,2012Q2,Human trafficking offences (0513),5
20122,2012Q2,"Robbery, extortion and hijacking offences (06)",650
20122,2012Q2,Robbery of an establishment or institution (0611),230
20122,2012Q2,Robbery of cash or goods in transit (0612),16
20122,2012Q2,Robbery from the person (0613),374
20122,2012Q2,Blackmail or extortion (0621),10
20122,2012Q2,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",20
20122,2012Q2,Burglary and related offences (07),6156
20122,2012Q2,Aggravated burglary (0711),52
20122,2012Q2,Burglary (not aggravated) (0712),5893
20122,2012Q2,"Possession of an article (with intent to burgle, steal, demand) (0713)",211
20122,2012Q2,Theft and related offences (08),19113
20122,2012Q2,Theft/taking of vehicle and related offences (081),2057
20122,2012Q2,Theft from person (0821),1162
20122,2012Q2,Theft from shop (0822),4942
20122,2012Q2,"Other thefts, handling stolen property (084)",10952
20122,2012Q2,"Fraud, deception and related offences (09)",1345
20122,2012Q2,Controlled drug offences (10),4350
20122,2012Q2,Importation of drugs (1011),12
20122,2012Q2,Cultivation or manufacture of drugs (1012),139
20122,2012Q2,Possession of drugs for sale or supply (1021),880
20122,2012Q2,Possession of drugs for personal use (1022),3161
20122,2012Q2,Other drug offences (103),158
20122,2012Q2,Weapons and explosives offences (11),736
20122,2012Q2,"Explosives, chemical weapons offences (111)",28
20122,2012Q2,Discharging a firearm (1121),37
20122,2012Q2,Possession of a firearm (1122),53
20122,2012Q2,Offensive weapons offences (n.e.c.) (113),610
20122,2012Q2,Fireworks offences (114),8
20122,2012Q2,Damage to property and to the environment  offences (12),7844
20122,2012Q2,Arson (1211),563
20122,2012Q2,Criminal damage (not arson) (1212),7201
20122,2012Q2,Litter offences (1221),80
20122,2012Q2,Public order and other social code offences (13),11013
20122,2012Q2,Disorderly conduct (131),9312
20122,2012Q2,Trespass offences (132),930
20122,2012Q2,Liquor licensing offences (133),483
20122,2012Q2,Prostitution offences (134),42
20122,2012Q2,"Regulated betting/money, collection/trading offences (135)",78
20122,2012Q2,Social code offences (n.e.c.) (136),168
20122,2012Q2,Road and traffic offences (14),27842
20122,2012Q2,"Driving licence-failure to have, produce, etc. (1411)",1378
20122,2012Q2,"Insurance-failure to have, produce, display, etc. (1412)",3142
20122,2012Q2,Vehicle tax/registration offences (142),5730
20122,2012Q2,Roadworthiness/regulatory offences (143),462
20122,2012Q2,Obstruction under Road Traffic Acts (1432),29
20122,2012Q2,Other road offences (1433),15531
20122,2012Q2,Road transport - carriage of goods offences (1441),1094
20122,2012Q2,Public service vehicle offences (1442),475
20122,2012Q2,Light rail offences (Luas) (1443),1
20122,2012Q2,"Offences against government, justice procedures and organisation of crime (15)",2419
20122,2012Q2,Offences against government and its agents (151),55
20122,2012Q2,Organisation of crime and conspiracy to commit crime (152),4
20122,2012Q2,Perverting the course of justice (153),15
20122,2012Q2,"Offences while in custody, breach of court orders (157)",2345
20122,2012Q2,Offences not elsewhere classified (16),865
20123,2012Q3,Homicide & related offences (01),26
20123,2012Q3,Murder (0111),14
20123,2012Q3,Manslaughter (0112),2
20123,2012Q3,Infanticide (0113),0
20123,2012Q3,Dangerous driving leading to death (012),10
20123,2012Q3,Sexual offences (02),464
20123,2012Q3,Rape of a male or female (0211),110
20123,2012Q3,Defilement of a boy or girl less than 17 years old (0212),25
20123,2012Q3,Sexual offence involving mentally impaired person (0213),1
20123,2012Q3,Aggravated sexual assault (0214),2
20123,2012Q3,Sexual assault (not aggravated) (0215),286
20123,2012Q3,Other sexual offences (022),40
20123,2012Q3,"Attempts/threats to murder, assaults, harassments and related offences (03)",3986
20123,2012Q3,Murder-attempt (0311),2
20123,2012Q3,Threat to kill or cause serious harm  (0313 ),67
20123,2012Q3,Harassment and related offences (033),444
20123,2012Q3,"Assault causing harm, poisoning (034)",853
20123,2012Q3,Other assault (035),2620
20123,2012Q3,Dangerous or negligent acts (04),12854
20123,2012Q3,Dangerous driving causing serious bodily harm (0411),2
20123,2012Q3,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412, 0413)",2019
20123,2012Q3,Driving/in charge of a vehicle while over legal alcohol limit (0412),1960
20123,2012Q3,Driving/in charge of a vehicle under the influence of drugs (0413),59
20123,2012Q3,Dangerous/careless driving and motorway offences (0414),1117
20123,2012Q3,Speeding (0415),9593
20123,2012Q3,Endangerment with potential for serious harm/death (0421),13
20123,2012Q3,"Abandoning a child, child neglect and cruelty (0422)",59
20123,2012Q3,Unseaworthy/dangerous use of boat or ship (0423),2
20123,2012Q3,False alarm/interference with aircraft or air transport facilities (0424),3
20123,2012Q3,Endangering traffic offences (0425),46
20123,2012Q3,Kidnapping and related offences (05),21
20123,2012Q3,False imprisonment (0511),16
20123,2012Q3,Abduction of person under 16 years of age (0512),3
20123,2012Q3,Human trafficking offences (0513),2
20123,2012Q3,"Robbery, extortion and hijacking offences (06)",658
20123,2012Q3,Robbery of an establishment or institution (0611),210
20123,2012Q3,Robbery of cash or goods in transit (0612),5
20123,2012Q3,Robbery from the person (0613),414
20123,2012Q3,Blackmail or extortion (0621),6
20123,2012Q3,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",23
20123,2012Q3,Burglary and related offences (07),6828
20123,2012Q3,Aggravated burglary (0711),81
20123,2012Q3,Burglary (not aggravated) (0712),6590
20123,2012Q3,"Possession of an article (with intent to burgle, steal, demand) (0713)",157
20123,2012Q3,Theft and related offences (08),19130
20123,2012Q3,Theft/taking of vehicle and related offences (081),2149
20123,2012Q3,Theft from person (0821),1316
20123,2012Q3,Theft from shop (0822),4858
20123,2012Q3,"Other thefts, handling stolen property (084)",10807
20123,2012Q3,"Fraud, deception and related offences (09)",1400
20123,2012Q3,Controlled drug offences (10),4044
20123,2012Q3,Importation of drugs (1011),6
20123,2012Q3,Cultivation or manufacture of drugs (1012),145
20123,2012Q3,Possession of drugs for sale or supply (1021),782
20123,2012Q3,Possession of drugs for personal use (1022),2958
20123,2012Q3,Other drug offences (103),153
20123,2012Q3,Weapons and explosives offences (11),690
20123,2012Q3,"Explosives, chemical weapons offences (111)",18
20123,2012Q3,Discharging a firearm (1121),30
20123,2012Q3,Possession of a firearm (1122),65
20123,2012Q3,Offensive weapons offences (n.e.c.) (113),534
20123,2012Q3,Fireworks offences (114),43
20123,2012Q3,Damage to property and to the environment  offences (12),7818
20123,2012Q3,Arson (1211),535
20123,2012Q3,Criminal damage (not arson) (1212),7204
20123,2012Q3,Litter offences (1221),79
20123,2012Q3,Public order and other social code offences (13),11418
20123,2012Q3,Disorderly conduct (131),9779
20123,2012Q3,Trespass offences (132),869
20123,2012Q3,Liquor licensing offences (133),496
20123,2012Q3,Prostitution offences (134),30
20123,2012Q3,"Regulated betting/money, collection/trading offences (135)",77
20123,2012Q3,Social code offences (n.e.c.) (136),167
20123,2012Q3,Road and traffic offences (14),23308
20123,2012Q3,"Driving licence-failure to have, produce, etc. (1411)",1110
20123,2012Q3,"Insurance-failure to have, produce, display, etc. (1412)",2658
20123,2012Q3,Vehicle tax/registration offences (142),4382
20123,2012Q3,Roadworthiness/regulatory offences (143),368
20123,2012Q3,Obstruction under Road Traffic Acts (1432),27
20123,2012Q3,Other road offences (1433),13226
20123,2012Q3,Road transport - carriage of goods offences (1441),1067
20123,2012Q3,Public service vehicle offences (1442),466
20123,2012Q3,Light rail offences (Luas) (1443),4
20123,2012Q3,"Offences against government, justice procedures and organisation of crime (15)",2188
20123,2012Q3,Offences against government and its agents (151),55
20123,2012Q3,Organisation of crime and conspiracy to commit crime (152),2
20123,2012Q3,Perverting the course of justice (153),33
20123,2012Q3,"Offences while in custody, breach of court orders (157)",2098
20123,2012Q3,Offences not elsewhere classified (16),627
20124,2012Q4,Homicide & related offences (01),15
20124,2012Q4,Murder (0111),9
20124,2012Q4,Manslaughter (0112),2
20124,2012Q4,Infanticide (0113),0
20124,2012Q4,Dangerous driving leading to death (012),4
20124,2012Q4,Sexual offences (02),445
20124,2012Q4,Rape of a male or female (0211),109
20124,2012Q4,Defilement of a boy or girl less than 17 years old (0212),32
20124,2012Q4,Sexual offence involving mentally impaired person (0213),1
20124,2012Q4,Aggravated sexual assault (0214),0
20124,2012Q4,Sexual assault (not aggravated) (0215),276
20124,2012Q4,Other sexual offences (022),27
20124,2012Q4,"Attempts/threats to murder, assaults, harassments and related offences (03)",3765
20124,2012Q4,Murder-attempt (0311),0
20124,2012Q4,Threat to kill or cause serious harm  (0313 ),60
20124,2012Q4,Harassment and related offences (033),419
20124,2012Q4,"Assault causing harm, poisoning (034)",750
20124,2012Q4,Other assault (035),2536
20124,2012Q4,Dangerous or negligent acts (04),10285
20124,2012Q4,Dangerous driving causing serious bodily harm (0411),1
20124,2012Q4,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412, 0413)",1995
20124,2012Q4,Driving/in charge of a vehicle while over legal alcohol limit (0412),1934
20124,2012Q4,Driving/in charge of a vehicle under the influence of drugs (0413),61
20124,2012Q4,Dangerous/careless driving and motorway offences (0414),935
20124,2012Q4,Speeding (0415),7230
20124,2012Q4,Endangerment with potential for serious harm/death (0421),19
20124,2012Q4,"Abandoning a child, child neglect and cruelty (0422)",43
20124,2012Q4,Unseaworthy/dangerous use of boat or ship (0423),1
20124,2012Q4,False alarm/interference with aircraft or air transport facilities (0424),0
20124,2012Q4,Endangering traffic offences (0425),61
20124,2012Q4,Kidnapping and related offences (05),25
20124,2012Q4,False imprisonment (0511),19
20124,2012Q4,Abduction of person under 16 years of age (0512),2
20124,2012Q4,Human trafficking offences (0513),4
20124,2012Q4,"Robbery, extortion and hijacking offences (06)",718
20124,2012Q4,Robbery of an establishment or institution (0611),235
20124,2012Q4,Robbery of cash or goods in transit (0612),11
20124,2012Q4,Robbery from the person (0613),426
20124,2012Q4,Blackmail or extortion (0621),17
20124,2012Q4,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",29
20124,2012Q4,Burglary and related offences (07),7346
20124,2012Q4,Aggravated burglary (0711),73
20124,2012Q4,Burglary (not aggravated) (0712),7062
20124,2012Q4,"Possession of an article (with intent to burgle, steal, demand) (0713)",211
20124,2012Q4,Theft and related offences (08),19050
20124,2012Q4,Theft/taking of vehicle and related offences (081),2004
20124,2012Q4,Theft from person (0821),1476
20124,2012Q4,Theft from shop (0822),5120
20124,2012Q4,"Other thefts, handling stolen property (084)",10450
20124,2012Q4,"Fraud, deception and related offences (09)",1259
20124,2012Q4,Controlled drug offences (10),3718
20124,2012Q4,Importation of drugs (1011),4
20124,2012Q4,Cultivation or manufacture of drugs (1012),123
20124,2012Q4,Possession of drugs for sale or supply (1021),807
20124,2012Q4,Possession of drugs for personal use (1022),2660
20124,2012Q4,Other drug offences (103),124
20124,2012Q4,Weapons and explosives offences (11),865
20124,2012Q4,"Explosives, chemical weapons offences (111)",28
20124,2012Q4,Discharging a firearm (1121),39
20124,2012Q4,Possession of a firearm (1122),62
20124,2012Q4,Offensive weapons offences (n.e.c.) (113),527
20124,2012Q4,Fireworks offences (114),209
20124,2012Q4,Damage to property and to the environment  offences (12),7862
20124,2012Q4,Arson (1211),520
20124,2012Q4,Criminal damage (not arson) (1212),7292
20124,2012Q4,Litter offences (1221),50
20124,2012Q4,Public order and other social code offences (13),10339
20124,2012Q4,Disorderly conduct (131),8828
20124,2012Q4,Trespass offences (132),684
20124,2012Q4,Liquor licensing offences (133),427
20124,2012Q4,Prostitution offences (134),30
20124,2012Q4,"Regulated betting/money, collection/trading offences (135)",81
20124,2012Q4,Social code offences (n.e.c.) (136),289
20124,2012Q4,Road and traffic offences (14),21280
20124,2012Q4,"Driving licence-failure to have, produce, etc. (1411)",1012
20124,2012Q4,"Insurance-failure to have, produce, display, etc. (1412)",2192
20124,2012Q4,Vehicle tax/registration offences (142),3722
20124,2012Q4,Roadworthiness/regulatory offences (143),503
20124,2012Q4,Obstruction under Road Traffic Acts (1432),41
20124,2012Q4,Other road offences (1433),12492
20124,2012Q4,Road transport - carriage of goods offences (1441),932
20124,2012Q4,Public service vehicle offences (1442),381
20124,2012Q4,Light rail offences (Luas) (1443),5
20124,2012Q4,"Offences against government, justice procedures and organisation of crime (15)",2142
20124,2012Q4,Offences against government and its agents (151),90
20124,2012Q4,Organisation of crime and conspiracy to commit crime (152),0
20124,2012Q4,Perverting the course of justice (153),16
20124,2012Q4,"Offences while in custody, breach of court orders (157)",2036
20124,2012Q4,Offences not elsewhere classified (16),661
20131,2013Q1,Homicide & related offences (01),19
20131,2013Q1,Murder (0111),9
20131,2013Q1,Manslaughter (0112),1
20131,2013Q1,Infanticide (0113),0
20131,2013Q1,Dangerous driving leading to death (012),9
20131,2013Q1,Sexual offences (02),512
20131,2013Q1,Rape of a male or female (0211),102
20131,2013Q1,Defilement of a boy or girl less than 17 years old (0212),26
20131,2013Q1,Sexual offence involving mentally impaired person (0213),4
20131,2013Q1,Aggravated sexual assault (0214),1
20131,2013Q1,Sexual assault (not aggravated) (0215),342
20131,2013Q1,Other sexual offences (022),37
20131,2013Q1,"Attempts/threats to murder, assaults, harassments and related offences (03)",3472
20131,2013Q1,Murder-attempt (0311),4
20131,2013Q1,Threat to kill or cause serious harm  (0313 ),76
20131,2013Q1,Harassment and related offences (033),394
20131,2013Q1,"Assault causing harm, poisoning (034)",766
20131,2013Q1,Other assault (035),2232
20131,2013Q1,Dangerous or negligent acts (04),8580
20131,2013Q1,Dangerous driving causing serious bodily harm (0411),5
20131,2013Q1,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412, 0413)",1685
20131,2013Q1,Driving/in charge of a vehicle while over legal alcohol limit (0412),1627
20131,2013Q1,Driving/in charge of a vehicle under the influence of drugs (0413),58
20131,2013Q1,Dangerous/careless driving and motorway offences (0414),915
20131,2013Q1,Speeding (0415),5833
20131,2013Q1,Endangerment with potential for serious harm/death (0421),15
20131,2013Q1,"Abandoning a child, child neglect and cruelty (0422)",80
20131,2013Q1,Unseaworthy/dangerous use of boat or ship (0423),0
20131,2013Q1,False alarm/interference with aircraft or air transport facilities (0424),2
20131,2013Q1,Endangering traffic offences (0425),45
20131,2013Q1,Kidnapping and related offences (05),33
20131,2013Q1,False imprisonment (0511),25
20131,2013Q1,Abduction of person under 16 years of age (0512),4
20131,2013Q1,Human trafficking offences (0513),4
20131,2013Q1,"Robbery, extortion and hijacking offences (06)",769
20131,2013Q1,Robbery of an establishment or institution (0611),299
20131,2013Q1,Robbery of cash or goods in transit (0612),7
20131,2013Q1,Robbery from the person (0613),437
20131,2013Q1,Blackmail or extortion (0621),7
20131,2013Q1,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",19
20131,2013Q1,Burglary and related offences (07),6636
20131,2013Q1,Aggravated burglary (0711),67
20131,2013Q1,Burglary (not aggravated) (0712),6404
20131,2013Q1,"Possession of an article (with intent to burgle, steal, demand) (0713)",165
20131,2013Q1,Theft and related offences (08),18602
20131,2013Q1,Theft/taking of vehicle and related offences (081),2031
20131,2013Q1,Theft from person (0821),1416
20131,2013Q1,Theft from shop (0822),4799
20131,2013Q1,"Other thefts, handling stolen property (084)",10356
20131,2013Q1,"Fraud, deception and related offences (09)",1178
20131,2013Q1,Controlled drug offences (10),3332
20131,2013Q1,Importation of drugs (1011),15
20131,2013Q1,Cultivation or manufacture of drugs (1012),71
20131,2013Q1,Possession of drugs for sale or supply (1021),813
20131,2013Q1,Possession of drugs for personal use (1022),2330
20131,2013Q1,Other drug offences (103),103
20131,2013Q1,Weapons and explosives offences (11),620
20131,2013Q1,"Explosives, chemical weapons offences (111)",20
20131,2013Q1,Discharging a firearm (1121),39
20131,2013Q1,Possession of a firearm (1122),53
20131,2013Q1,Offensive weapons offences (n.e.c.) (113),500
20131,2013Q1,Fireworks offences (114),8
20131,2013Q1,Damage to property and to the environment  offences (12),7327
20131,2013Q1,Arson (1211),409
20131,2013Q1,Criminal damage (not arson) (1212),6844
20131,2013Q1,Litter offences (1221),74
20131,2013Q1,Public order and other social code offences (13),8582
20131,2013Q1,Disorderly conduct (131),7297
20131,2013Q1,Trespass offences (132),678
20131,2013Q1,Liquor licensing offences (133),345
20131,2013Q1,Prostitution offences (134),26
20131,2013Q1,"Regulated betting/money, collection/trading offences (135)",47
20131,2013Q1,Social code offences (n.e.c.) (136),189
20131,2013Q1,Road and traffic offences (14),17036
20131,2013Q1,"Driving licence-failure to have, produce, etc. (1411)",783
20131,2013Q1,"Insurance-failure to have, produce, display, etc. (1412)",1953
20131,2013Q1,Vehicle tax/registration offences (142),2697
20131,2013Q1,Roadworthiness/regulatory offences (143),608
20131,2013Q1,Obstruction under Road Traffic Acts (1432),21
20131,2013Q1,Other road offences (1433),9573
20131,2013Q1,Road transport - carriage of goods offences (1441),1017
20131,2013Q1,Public service vehicle offences (1442),383
20131,2013Q1,Light rail offences (Luas) (1443),1
20131,2013Q1,"Offences against government, justice procedures and organisation of crime (15)",2217
20131,2013Q1,Offences against government and its agents (151),66
20131,2013Q1,Organisation of crime and conspiracy to commit crime (152),1
20131,2013Q1,Perverting the course of justice (153),19
20131,2013Q1,"Offences while in custody, breach of court orders (157)",2131
20131,2013Q1,Offences not elsewhere classified (16),728
20132,2013Q2,Homicide & related offences (01),22
20132,2013Q2,Murder (0111),12
20132,2013Q2,Manslaughter (0112),1
20132,2013Q2,Infanticide (0113),0
20132,2013Q2,Dangerous driving leading to death (012),9
20132,2013Q2,Sexual offences (02),515
20132,2013Q2,Rape of a male or female (0211),101
20132,2013Q2,Defilement of a boy or girl less than 17 years old (0212),20
20132,2013Q2,Sexual offence involving mentally impaired person (0213),1
20132,2013Q2,Aggravated sexual assault (0214),1
20132,2013Q2,Sexual assault (not aggravated) (0215),358
20132,2013Q2,Other sexual offences (022),34
20132,2013Q2,"Attempts/threats to murder, assaults, harassments and related offences (03)",3603
20132,2013Q2,Murder-attempt (0311),1
20132,2013Q2,Threat to kill or cause serious harm  (0313 ),82
20132,2013Q2,Harassment and related offences (033),381
20132,2013Q2,"Assault causing harm, poisoning (034)",758
20132,2013Q2,Other assault (035),2381
20132,2013Q2,Dangerous or negligent acts (04),11503
20132,2013Q2,Dangerous driving causing serious bodily harm (0411),2
20132,2013Q2,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412, 0413)",1816
20132,2013Q2,Driving/in charge of a vehicle while over legal alcohol limit (0412),1736
20132,2013Q2,Driving/in charge of a vehicle under the influence of drugs (0413),80
20132,2013Q2,Dangerous/careless driving and motorway offences (0414),1123
20132,2013Q2,Speeding (0415),8446
20132,2013Q2,Endangerment with potential for serious harm/death (0421),13
20132,2013Q2,"Abandoning a child, child neglect and cruelty (0422)",57
20132,2013Q2,Unseaworthy/dangerous use of boat or ship (0423),1
20132,2013Q2,False alarm/interference with aircraft or air transport facilities (0424),1
20132,2013Q2,Endangering traffic offences (0425),44
20132,2013Q2,Kidnapping and related offences (05),19
20132,2013Q2,False imprisonment (0511),13
20132,2013Q2,Abduction of person under 16 years of age (0512),4
20132,2013Q2,Human trafficking offences (0513),2
20132,2013Q2,"Robbery, extortion and hijacking offences (06)",622
20132,2013Q2,Robbery of an establishment or institution (0611),220
20132,2013Q2,Robbery of cash or goods in transit (0612),11
20132,2013Q2,Robbery from the person (0613),375
20132,2013Q2,Blackmail or extortion (0621),4
20132,2013Q2,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",12
20132,2013Q2,Burglary and related offences (07),5876
20132,2013Q2,Aggravated burglary (0711),72
20132,2013Q2,Burglary (not aggravated) (0712),5632
20132,2013Q2,"Possession of an article (with intent to burgle, steal, demand) (0713)",172
20132,2013Q2,Theft and related offences (08),19805
20132,2013Q2,Theft/taking of vehicle and related offences (081),1830
20132,2013Q2,Theft from person (0821),1458
20132,2013Q2,Theft from shop (0822),5336
20132,2013Q2,"Other thefts, handling stolen property (084)",11181
20132,2013Q2,"Fraud, deception and related offences (09)",1232
20132,2013Q2,Controlled drug offences (10),4237
20132,2013Q2,Importation of drugs (1011),7
20132,2013Q2,Cultivation or manufacture of drugs (1012),117
20132,2013Q2,Possession of drugs for sale or supply (1021),873
20132,2013Q2,Possession of drugs for personal use (1022),3078
20132,2013Q2,Other drug offences (103),162
20132,2013Q2,Weapons and explosives offences (11),696
20132,2013Q2,"Explosives, chemical weapons offences (111)",14
20132,2013Q2,Discharging a firearm (1121),34
20132,2013Q2,Possession of a firearm (1122),55
20132,2013Q2,Offensive weapons offences (n.e.c.) (113),591
20132,2013Q2,Fireworks offences (114),2
20132,2013Q2,Damage to property and to the environment  offences (12),7310
20132,2013Q2,Arson (1211),476
20132,2013Q2,Criminal damage (not arson) (1212),6755
20132,2013Q2,Litter offences (1221),79
20132,2013Q2,Public order and other social code offences (13),9176
20132,2013Q2,Disorderly conduct (131),7839
20132,2013Q2,Trespass offences (132),728
20132,2013Q2,Liquor licensing offences (133),331
20132,2013Q2,Prostitution offences (134),28
20132,2013Q2,"Regulated betting/money, collection/trading offences (135)",89
20132,2013Q2,Social code offences (n.e.c.) (136),161
20132,2013Q2,Road and traffic offences (14),23144
20132,2013Q2,"Driving licence-failure to have, produce, etc. (1411)",1116
20132,2013Q2,"Insurance-failure to have, produce, display, etc. (1412)",2571
20132,2013Q2,Vehicle tax/registration offences (142),3716
20132,2013Q2,Roadworthiness/regulatory offences (143),577
20132,2013Q2,Obstruction under Road Traffic Acts (1432),13
20132,2013Q2,Other road offences (1433),13432
20132,2013Q2,Road transport - carriage of goods offences (1441),1300
20132,2013Q2,Public service vehicle offences (1442),415
20132,2013Q2,Light rail offences (Luas) (1443),4
20132,2013Q2,"Offences against government, justice procedures and organisation of crime (15)",2370
20132,2013Q2,Offences against government and its agents (151),77
20132,2013Q2,Organisation of crime and conspiracy to commit crime (152),2
20132,2013Q2,Perverting the course of justice (153),14
20132,2013Q2,"Offences while in custody, breach of court orders (157)",2277
20132,2013Q2,Offences not elsewhere classified (16),730
20133,2013Q3,Homicide & related offences (01),35
20133,2013Q3,Murder (0111),16
20133,2013Q3,Manslaughter (0112),5
20133,2013Q3,Infanticide (0113),0
20133,2013Q3,Dangerous driving leading to death (012),14
20133,2013Q3,Sexual offences (02),457
20133,2013Q3,Rape of a male or female (0211),99
20133,2013Q3,Defilement of a boy or girl less than 17 years old (0212),28
20133,2013Q3,Sexual offence involving mentally impaired person (0213),2
20133,2013Q3,Aggravated sexual assault (0214),3
20133,2013Q3,Sexual assault (not aggravated) (0215),293
20133,2013Q3,Other sexual offences (022),32
20133,2013Q3,"Attempts/threats to murder, assaults, harassments and related offences (03)",3713
20133,2013Q3,Murder-attempt (0311),4
20133,2013Q3,Threat to kill or cause serious harm  (0313 ),100
20133,2013Q3,Harassment and related offences (033),378
20133,2013Q3,"Assault causing harm, poisoning (034)",778
20133,2013Q3,Other assault (035),2453
20133,2013Q3,Dangerous or negligent acts (04),11020
20133,2013Q3,Dangerous driving causing serious bodily harm (0411),4
20133,2013Q3,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412, 0413)",1743
20133,2013Q3,Driving/in charge of a vehicle while over legal alcohol limit (0412),1680
20133,2013Q3,Driving/in charge of a vehicle under the influence of drugs (0413),63
20133,2013Q3,Dangerous/careless driving and motorway offences (0414),1011
20133,2013Q3,Speeding (0415),8149
20133,2013Q3,Endangerment with potential for serious harm/death (0421),24
20133,2013Q3,"Abandoning a child, child neglect and cruelty (0422)",41
20133,2013Q3,Unseaworthy/dangerous use of boat or ship (0423),1
20133,2013Q3,False alarm/interference with aircraft or air transport facilities (0424),0
20133,2013Q3,Endangering traffic offences (0425),47
20133,2013Q3,Kidnapping and related offences (05),39
20133,2013Q3,False imprisonment (0511),26
20133,2013Q3,Abduction of person under 16 years of age (0512),7
20133,2013Q3,Human trafficking offences (0513),6
20133,2013Q3,"Robbery, extortion and hijacking offences (06)",594
20133,2013Q3,Robbery of an establishment or institution (0611),178
20133,2013Q3,Robbery of cash or goods in transit (0612),11
20133,2013Q3,Robbery from the person (0613),381
20133,2013Q3,Blackmail or extortion (0621),9
20133,2013Q3,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",15
20133,2013Q3,Burglary and related offences (07),6390
20133,2013Q3,Aggravated burglary (0711),84
20133,2013Q3,Burglary (not aggravated) (0712),6132
20133,2013Q3,"Possession of an article (with intent to burgle, steal, demand) (0713)",174
20133,2013Q3,Theft and related offences (08),20716
20133,2013Q3,Theft/taking of vehicle and related offences (081),1709
20133,2013Q3,Theft from person (0821),1705
20133,2013Q3,Theft from shop (0822),5388
20133,2013Q3,"Other thefts, handling stolen property (084)",11914
20133,2013Q3,"Fraud, deception and related offences (09)",1143
20133,2013Q3,Controlled drug offences (10),4376
20133,2013Q3,Importation of drugs (1011),13
20133,2013Q3,Cultivation or manufacture of drugs (1012),120
20133,2013Q3,Possession of drugs for sale or supply (1021),773
20133,2013Q3,Possession of drugs for personal use (1022),3344
20133,2013Q3,Other drug offences (103),126
20133,2013Q3,Weapons and explosives offences (11),680
20133,2013Q3,"Explosives, chemical weapons offences (111)",13
20133,2013Q3,Discharging a firearm (1121),39
20133,2013Q3,Possession of a firearm (1122),42
20133,2013Q3,Offensive weapons offences (n.e.c.) (113),565
20133,2013Q3,Fireworks offences (114),21
20133,2013Q3,Damage to property and to the environment  offences (12),6884
20133,2013Q3,Arson (1211),523
20133,2013Q3,Criminal damage (not arson) (1212),6291
20133,2013Q3,Litter offences (1221),70
20133,2013Q3,Public order and other social code offences (13),9832
20133,2013Q3,Disorderly conduct (131),8242
20133,2013Q3,Trespass offences (132),836
20133,2013Q3,Liquor licensing offences (133),400
20133,2013Q3,Prostitution offences (134),30
