Quarter,year,county,crime_type,crime_count
2019Q4,2019,Carlow,Damage to Property,50
2019Q4,2019,Carlow,Drug Offences,78
2019Q4,2019,Carlow,Fraud,23
2019Q4,2019,Carlow,Theft,144
2019Q4,2019,Cavan,Assault,90
2019Q4,2019,Cavan,Burglary,58
2019Q4,2019,Cavan,Damage to Property,78
2019Q4,2019,Cavan,Drug Offences,42
2019Q4,2019,Cavan,Fraud,28
2019Q4,2019,Cavan,Theft,102
2019Q4,2019,Clare,Assault,120
2019Q4,2019,Clare,Burglary,61
2019Q4,2019,Clare,Damage to Property,119
2019Q4,2019,Clare,Drug Offences,79
2019Q4,2019,Clare,Fraud,38
2019Q4,2019,Clare,Theft,185
2019Q4,2019,Cork,Assault,600
2019Q4,2019,Cork,Burglary,189
2019Q4,2019,Cork,Damage to Property,479
2019Q4,2019,Cork,Drug Offences,464
2019Q4,2019,Cork,Fraud,138
2019Q4,2019,Cork,Theft,1304
2019Q4,2019,Donegal,Assault,215
2019Q4,2019,Donegal,Burglary,62
2019Q4,2019,Donegal,Damage to Property,158
2019Q4,2019,Donegal,Drug Offences,123
2019Q4,2019,Donegal,Fraud,59
2019Q4,2019,Donegal,Theft,143
2019Q4,2019,Dublin,Assault,1876
2019Q4,2019,Dublin,Burglary,2297
2019Q4,2019,Dublin,Damage to Property,2191
2019Q4,2019,Dublin,Drug Offences,1900
2019Q4,2019,Dublin,Fraud,807
2019Q4,2019,Dublin,Theft,9445
2019Q4,2019,Galway,Assault,260
2019Q4,2019,Galway,Burglary,160
2019Q4,2019,Galway,Damage to Property,218
2019Q4,2019,Galway,Drug Offences,117
2019Q4,2019,Galway,Fraud,88
2019Q4,2019,Galway,Theft,480
2019Q4,2019,Kerry,Assault,194
2019Q4,2019,Kerry,Burglary,58
2019Q4,2019,Kerry,Damage to Property,103
2019Q4,2019,Kerry,Drug Offences,180
2019Q4,2019,Kerry,Fraud,43
2019Q4,2019,Kerry,Theft,267
2019Q4,2019,Kildare,Assault,166
2019Q4,2019,Kildare,Burglary,278
2019Q4,2019,Kildare,Damage to Property,155
2019Q4,2019,Kildare,Drug Offences,174
2019Q4,2019,Kildare,Fraud,102
2019Q4,2019,Kildare,Theft,489
2019Q4,2019,Kilkenny,Assault,61
2019Q4,2019,Kilkenny,Burglary,64
2019Q4,2019,Kilkenny,Damage to Property,50
2019Q4,2019,Kilkenny,Drug Offences,78
2019Q4,2019,Kilkenny,Fraud,23
2019Q4,2019,Kilkenny,Theft,144
2019Q4,2019,Laois,Assault,79
2019Q4,2019,Laois,Burglary,62
2019Q4,2019,Laois,Damage to Property,83
2019Q4,2019,Laois,Drug Offences,60
2019Q4,2019,Laois,Fraud,35
2019Q4,2019,Laois,Theft,153
2019Q4,2019,Leitrim,Assault,58
2019Q4,2019,Leitrim,Burglary,27
2019Q4,2019,Leitrim,Damage to Property,50
2019Q4,2019,Leitrim,Drug Offences,32
2019Q4,2019,Leitrim,Fraud,17
2019Q4,2019,Leitrim,Theft,70
2019Q4,2019,Limerick,Assault,249
2019Q4,2019,Limerick,Burglary,233
2019Q4,2019,Limerick,Damage to Property,269
2019Q4,2019,Limerick,Drug Offences,184
2019Q4,2019,Limerick,Fraud,78
2019Q4,2019,Limerick,Theft,849
2019Q4,2019,Longford,Assault,48
2019Q4,2019,Longford,Burglary,18
2019Q4,2019,Longford,Damage to Property,40
2019Q4,2019,Longford,Drug Offences,28
2019Q4,2019,Longford,Fraud,18
2019Q4,2019,Longford,Theft,73
2019Q4,2019,Louth,Assault,181
2019Q4,2019,Louth,Burglary,118
2019Q4,2019,Louth,Damage to Property,199
2019Q4,2019,Louth,Drug Offences,176
2019Q4,2019,Louth,Fraud,50
2019Q4,2019,Louth,Theft,409
2019Q4,2019,Mayo,Assault,106
2019Q4,2019,Mayo,Burglary,43
2019Q4,2019,Mayo,Damage to Property,84
2019Q4,2019,Mayo,Drug Offences,65
2019Q4,2019,Mayo,Fraud,22
2019Q4,2019,Mayo,Theft,163
2019Q4,2019,Meath,Assault,139
2019Q4,2019,Meath,Burglary,161
2019Q4,2019,Meath,Damage to Property,146
2019Q4,2019,Meath,Drug Offences,92
2019Q4,2019,Meath,Fraud,83
2019Q4,2019,Meath,Theft,468
2019Q4,2019,Monaghan,Assault,90
2019Q4,2019,Monaghan,Burglary,58
2019Q4,2019,Monaghan,Damage to Property,78
2019Q4,2019,Monaghan,Drug Offences,42
2019Q4,2019,Monaghan,Fraud,28
2019Q4,2019,Monaghan,Theft,102
2019Q4,2019,Offaly,Assault,79
2019Q4,2019,Offaly,Burglary,62
2019Q4,2019,Offaly,Damage to Property,83
2019Q4,2019,Offaly,Drug Offences,60
2019Q4,2019,Offaly,Fraud,35
2019Q4,2019,Offaly,Theft,153
2019Q4,2019,Roscommon,Assault,48
2019Q4,2019,Roscommon,Burglary,18
2019Q4,2019,Roscommon,Damage to Property,40
2019Q4,2019,Roscommon,Drug Offences,28
2019Q4,2019,Roscommon,Fraud,18
2019Q4,2019,Roscommon,Theft,73
2019Q4,2019,Sligo,Assault,58
2019Q4,2019,Sligo,Burglary,27
2019Q4,2019,Sligo,Damage to Property,50
2019Q4,2019,Sligo,Drug Offences,32
2019Q4,2019,Sligo,Fraud,17
2019Q4,2019,Sligo,Theft,70
2019Q4,2019,Tipperary,Assault,154
2019Q4,2019,Tipperary,Burglary,113
2019Q4,2019,Tipperary,Damage to Property,125
2019Q4,2019,Tipperary,Drug Offences,115
2019Q4,2019,Tipperary,Fraud,51
2019Q4,2019,Tipperary,Theft,221
2019Q4,2019,Waterford,Assault,170
2019Q4,2019,Waterford,Burglary,94
2019Q4,2019,Waterford,Damage to Property,156
2019Q4,2019,Waterford,Drug Offences,176
2019Q4,2019,Waterford,Fraud,41
2019Q4,2019,Waterford,Theft,386
2019Q4,2019,Westmeath,Assault,121
2019Q4,2019,Westmeath,Burglary,91
2019Q4,2019,Westmeath,Damage to Property,113
2019Q4,2019,Westmeath,Drug Offences,92
2019Q4,2019,Westmeath,Fraud,51
2019Q4,2019,Westmeath,Theft,256
2019Q4,2019,Wexford,Assault,127
2019Q4,2019,Wexford,Burglary,128
2019Q4,2019,Wexford,Damage to Property,143
2019Q4,2019,Wexford,Drug Offences,84
2019Q4,2019,Wexford,Fraud,45
2019Q4,2019,Wexford,Theft,232
2019Q4,2019,Wicklow,Assault,101
2019Q4,2019,Wicklow,Burglary,155
2019Q4,2019,Wicklow,Damage to Property,166
2019Q4,2019,Wicklow,Drug Offences,149
2019Q4,2019,Wicklow,Fraud,35
2019Q4,2019,Wicklow,Theft,453
2020Q1,2020,Carlow,Assault,39
2020Q1,2020,Carlow,Burglary,40
2020Q1,2020,Carlow,Damage to Property,44
2020Q1,2020,Carlow,Drug Offences,80
2020Q1,2020,Carlow,Fraud,20
2020Q1,2020,Carlow,Theft,105
2020Q1,2020,Cavan,Assault,72
2020Q1,2020,Cavan,Burglary,62
2020Q1,2020,Cavan,Damage to Property,61
2020Q1,2020,Cavan,Drug Offences,46
2020Q1,2020,Cavan,Fraud,24
2020Q1,2020,Cavan,Theft,115
2020Q1,2020,Clare,Assault,102
2020Q1,2020,Clare,Burglary,69
2020Q1,2020,Clare,Damage to Property,91
2020Q1,2020,Clare,Drug Offences,109
2020Q1,2020,Clare,Fraud,39
2020Q1,2020,Clare,Theft,184
2020Q1,2020,Cork,Assault,472
2020Q1,2020,Cork,Burglary,190
2020Q1,2020,Cork,Damage to Property,442
2020Q1,2020,Cork,Drug Offences,488
2020Q1,2020,Cork,Fraud,166
2020Q1,2020,Cork,Theft,1066
2020Q1,2020,Donegal,Assault,180
2020Q1,2020,Donegal,Burglary,51
2020Q1,2020,Donegal,Damage to Property,128
